company,sector,ticker,market_cap,enterprise_value,revenue_ttm,ebitda,ev_revenue,ev_ebitda,pe_ratio,gross_margins,revenue_growth,profit_margins,return_on_equity,debt_to_equity
Siemens,Industrials,SIE.DE,216695390208,272871718912,79699001344,11843999744.0,3.424,23.039,29.409939,38.8,-0.0,9.7,12.6,76.352
Airbus,Industrials,AIR.DE,162287075328,161169080320,72529002496,7654000128.0,2.222,21.057,32.56714,15.4,-6.6,6.9,19.7,55.655
Infineon,Industrials,IFX.DE,100555276288,106696286208,15123000320,4016999936.0,7.055,26.561,94.36585,41.2,,7.2,6.3,47.645
BASF,Chemicals,BAS.DE,42253058048,63647260672,59167997952,5782000128.0,1.076,11.008,27.941519,23.4,-3.0,2.9,4.4,66.724
Bayer,Chemicals,BAYN.DE,52422148096,84765933568,45241999360,10158000128.0,1.874,8.345,,59.9,-2.4,-4.8,-6.9,134.269
Merck,Chemicals,MRK.DE,63325396992,71526768640,20955600896,5674299904.0,3.413,12.605,24.982847,58.9,-2.8,12.1,8.5,40.372
Volkswagen,Automotive,VOW3.DE,37426704384,257782710272,320011993088,21851000832.0,0.806,11.797,6.1146603,14.0,-2.5,2.1,3.1,137.093
BMW,Automotive,BMW.DE,36767686656,135243685888,130702000128,14666999808.0,1.035,9.221,5.4119754,13.1,-8.1,5.2,7.1,112.684
Mercedes-Benz,Automotive,MBG.DE,43309617152,125465722880,130591997952,11079000064.0,0.961,11.325,8.888016,15.5,-4.9,3.7,5.3,104.519
Deutsche Bank,Financials,DBK.DE,60895997952,-41536708608,29824999424,,-1.393,,10.072784,0.0,1.2,22.7,8.7,
Allianz,Financials,ALV.DE,159224365056,135330373632,115495002112,19718750208.0,1.172,6.863,13.568196,24.3,8.8,10.4,18.7,
Munich Re,Financials,MUV2.DE,63520280576,65320296448,61352001536,,1.065,,9.505936,36.1,-6.0,11.0,19.8,21.718
SAP,Technology,SAP.DE,163037937664,160723320832,37341999104,11603999744.0,4.304,13.851,22.378206,73.7,6.0,19.6,16.4,17.331
Deutsche Telekom,Technology,DTE.DE,121627885568,290248196096,121945997312,41964998656.0,2.38,6.916,13.889503,44.5,0.4,7.2,14.4,161.874
Adidas,Consumer,ADS.DE,32862756864,37935034368,25250000896,2469499904.0,1.502,15.361,23.97154,51.4,7.1,5.5,22.9,93.747
Henkel,Consumer,HEN3.DE,30501844992,31302334464,20494999552,3236000000.0,1.527,9.673,15.313007,50.8,-6.3,9.9,9.7,18.017
Beiersdorf,Consumer,BEI.DE,16721437696,14378437632,9852000256,1607000064.0,1.459,8.947,18.004705,57.7,-0.2,9.5,11.2,2.518
Fresenius,Healthcare,FRE.DE,23898157056,34426159104,22986000384,3033400064.0,1.498,11.349,15.832089,25.3,2.0,6.4,7.8,58.172
Sartorius,Healthcare,SRT3.DE,15647248384,20538449920,3554200064,905500032.0,5.779,22.682,96.01695,45.6,1.8,4.6,6.2,110.543
Deutsche Post,Logistics,DHL.DE,62677622784,84184973312,83043999744,7825999872.0,1.014,10.757,18.122978,17.5,-1.9,4.2,15.6,121.823
