date,close,company,sector,ticker
2019-01-02,69.74808502197266,Siemens,Industrials,SIE.DE
2019-01-03,67.8777847290039,Siemens,Industrials,SIE.DE
2019-01-04,70.53742980957031,Siemens,Industrials,SIE.DE
2019-01-07,69.61296081542969,Siemens,Industrials,SIE.DE
2019-01-08,69.89031219482422,Siemens,Industrials,SIE.DE
2019-01-09,70.14630126953125,Siemens,Industrials,SIE.DE
2019-01-10,70.23165130615234,Siemens,Industrials,SIE.DE
2019-01-11,69.35694885253906,Siemens,Industrials,SIE.DE
2019-01-14,69.22895050048828,Siemens,Industrials,SIE.DE
2019-01-15,69.47785186767578,Siemens,Industrials,SIE.DE
2019-01-16,69.3996353149414,Siemens,Industrials,SIE.DE
2019-01-17,69.62006378173828,Siemens,Industrials,SIE.DE
2019-01-18,71.51170349121094,Siemens,Industrials,SIE.DE
2019-01-21,71.65392303466797,Siemens,Industrials,SIE.DE
2019-01-22,70.7081069946289,Siemens,Industrials,SIE.DE
2019-01-23,70.15342712402344,Siemens,Industrials,SIE.DE
2019-01-24,70.40232849121094,Siemens,Industrials,SIE.DE
2019-01-25,71.34102630615234,Siemens,Industrials,SIE.DE
2019-01-28,71.12767028808594,Siemens,Industrials,SIE.DE
2019-01-29,71.4832534790039,Siemens,Industrials,SIE.DE
2019-01-30,70.9570083618164,Siemens,Industrials,SIE.DE
2019-01-31,71.11693572998047,Siemens,Industrials,SIE.DE
2019-02-01,70.99813079833984,Siemens,Industrials,SIE.DE
2019-02-04,70.53777313232422,Siemens,Industrials,SIE.DE
2019-02-05,71.52530670166016,Siemens,Industrials,SIE.DE
2019-02-06,70.84220123291016,Siemens,Industrials,SIE.DE
2019-02-07,68.8968505859375,Siemens,Industrials,SIE.DE
2019-02-08,67.95386505126953,Siemens,Industrials,SIE.DE
2019-02-11,68.49589538574219,Siemens,Industrials,SIE.DE
2019-02-12,68.48104858398438,Siemens,Industrials,SIE.DE
2019-02-13,68.36967468261719,Siemens,Industrials,SIE.DE
2019-02-14,68.49589538574219,Siemens,Industrials,SIE.DE
2019-02-15,70.2556381225586,Siemens,Industrials,SIE.DE
2019-02-18,69.72102355957031,Siemens,Industrials,SIE.DE
2019-02-19,69.8323974609375,Siemens,Industrials,SIE.DE
2019-02-20,70.24077606201172,Siemens,Industrials,SIE.DE
2019-02-21,70.12198638916016,Siemens,Industrials,SIE.DE
2019-02-22,71.16149139404297,Siemens,Industrials,SIE.DE
2019-02-25,71.7035140991211,Siemens,Industrials,SIE.DE
2019-02-26,72.86181640625,Siemens,Industrials,SIE.DE
2019-02-27,71.78518676757812,Siemens,Industrials,SIE.DE
2019-02-28,71.3768081665039,Siemens,Industrials,SIE.DE
2019-03-01,71.97824096679688,Siemens,Industrials,SIE.DE
2019-03-04,72.33464050292969,Siemens,Industrials,SIE.DE
2019-03-05,72.1861343383789,Siemens,Industrials,SIE.DE
2019-03-06,72.1861343383789,Siemens,Industrials,SIE.DE
2019-03-07,71.61441802978516,Siemens,Industrials,SIE.DE
2019-03-08,70.64173126220703,Siemens,Industrials,SIE.DE
2019-03-11,71.11693572998047,Siemens,Industrials,SIE.DE
2019-03-12,71.36195373535156,Siemens,Industrials,SIE.DE
2019-03-13,71.39907836914062,Siemens,Industrials,SIE.DE
2019-03-14,71.90399169921875,Siemens,Industrials,SIE.DE
2019-03-15,72.75043487548828,Siemens,Industrials,SIE.DE
2019-03-18,72.75043487548828,Siemens,Industrials,SIE.DE
2019-03-19,73.8790512084961,Siemens,Industrials,SIE.DE
2019-03-20,72.28265380859375,Siemens,Industrials,SIE.DE
2019-03-21,73.06970977783203,Siemens,Industrials,SIE.DE
2019-03-22,70.74568176269531,Siemens,Industrials,SIE.DE
2019-03-25,70.4635238647461,Siemens,Industrials,SIE.DE
2019-03-26,70.37443542480469,Siemens,Industrials,SIE.DE
2019-03-27,70.96101379394531,Siemens,Industrials,SIE.DE
2019-03-28,70.53777313232422,Siemens,Industrials,SIE.DE
2019-03-29,71.23573303222656,Siemens,Industrials,SIE.DE
2019-04-01,72.72816467285156,Siemens,Industrials,SIE.DE
2019-04-02,73.6340103149414,Siemens,Industrials,SIE.DE
2019-04-03,74.77005004882812,Siemens,Industrials,SIE.DE
2019-04-04,74.97794342041016,Siemens,Industrials,SIE.DE
2019-04-05,75.83926391601562,Siemens,Industrials,SIE.DE
2019-04-08,75.7501449584961,Siemens,Industrials,SIE.DE
2019-04-09,74.77005004882812,Siemens,Industrials,SIE.DE
2019-04-10,75.42344665527344,Siemens,Industrials,SIE.DE
2019-04-11,76.06201171875,Siemens,Industrials,SIE.DE
2019-04-12,77.1163558959961,Siemens,Industrials,SIE.DE
2019-04-15,77.02725219726562,Siemens,Industrials,SIE.DE
2019-04-16,77.62125396728516,Siemens,Industrials,SIE.DE
2019-04-17,78.58650970458984,Siemens,Industrials,SIE.DE
2019-04-18,79.07656860351562,Siemens,Industrials,SIE.DE
2019-04-23,78.46772766113281,Siemens,Industrials,SIE.DE
2019-04-24,78.42316436767578,Siemens,Industrials,SIE.DE
2019-04-25,78.4380111694336,Siemens,Industrials,SIE.DE
2019-04-26,78.18555450439453,Siemens,Industrials,SIE.DE
2019-04-29,78.60136413574219,Siemens,Industrials,SIE.DE
2019-04-30,79.25477600097656,Siemens,Industrials,SIE.DE
2019-05-02,78.21526336669922,Siemens,Industrials,SIE.DE
2019-05-03,78.52710723876953,Siemens,Industrials,SIE.DE
2019-05-06,77.66580200195312,Siemens,Industrials,SIE.DE
2019-05-07,76.09171295166016,Siemens,Industrials,SIE.DE
2019-05-08,79.56661224365234,Siemens,Industrials,SIE.DE
2019-05-09,78.17071533203125,Siemens,Industrials,SIE.DE
2019-05-10,79.46266174316406,Siemens,Industrials,SIE.DE
2019-05-13,77.79945373535156,Siemens,Industrials,SIE.DE
2019-05-14,78.73501586914062,Siemens,Industrials,SIE.DE
2019-05-15,79.21022033691406,Siemens,Industrials,SIE.DE
2019-05-16,80.68037414550781,Siemens,Industrials,SIE.DE
2019-05-17,79.7596664428711,Siemens,Industrials,SIE.DE
2019-05-20,78.33406829833984,Siemens,Industrials,SIE.DE
2019-05-21,79.61116790771484,Siemens,Industrials,SIE.DE
2019-05-22,79.10626983642578,Siemens,Industrials,SIE.DE
2019-05-23,76.99755859375,Siemens,Industrials,SIE.DE
2019-05-24,78.12615966796875,Siemens,Industrials,SIE.DE
2019-05-27,78.18555450439453,Siemens,Industrials,SIE.DE
2019-05-28,78.18555450439453,Siemens,Industrials,SIE.DE
2019-05-29,76.3590087890625,Siemens,Industrials,SIE.DE
2019-05-30,76.56690979003906,Siemens,Industrials,SIE.DE
2019-05-31,75.31950378417969,Siemens,Industrials,SIE.DE
2019-06-03,76.04715728759766,Siemens,Industrials,SIE.DE
2019-06-04,77.42820739746094,Siemens,Industrials,SIE.DE
2019-06-05,77.57671356201172,Siemens,Industrials,SIE.DE
2019-06-06,76.90845489501953,Siemens,Industrials,SIE.DE
2019-06-07,77.39851379394531,Siemens,Industrials,SIE.DE
2019-06-11,78.37860870361328,Siemens,Industrials,SIE.DE
2019-06-12,77.9776611328125,Siemens,Industrials,SIE.DE
2019-06-13,78.0964584350586,Siemens,Industrials,SIE.DE
2019-06-14,77.23515319824219,Siemens,Industrials,SIE.DE
2019-06-17,76.7896499633789,Siemens,Industrials,SIE.DE
2019-06-18,78.55680847167969,Siemens,Industrials,SIE.DE
2019-06-19,78.91321563720703,Siemens,Industrials,SIE.DE
2019-06-20,79.04685974121094,Siemens,Industrials,SIE.DE
2019-06-21,78.51226806640625,Siemens,Industrials,SIE.DE
2019-06-24,78.74986267089844,Siemens,Industrials,SIE.DE
2019-06-25,77.81430053710938,Siemens,Industrials,SIE.DE
2019-06-26,77.02725219726562,Siemens,Industrials,SIE.DE
2019-06-27,76.87876892089844,Siemens,Industrials,SIE.DE
2019-06-28,77.66580200195312,Siemens,Industrials,SIE.DE
2019-07-01,78.70530700683594,Siemens,Industrials,SIE.DE
2019-07-02,77.96280670166016,Siemens,Industrials,SIE.DE
2019-07-03,78.24496459960938,Siemens,Industrials,SIE.DE
2019-07-04,78.36376953125,Siemens,Industrials,SIE.DE
2019-07-05,76.06201171875,Siemens,Industrials,SIE.DE
2019-07-08,75.34920501708984,Siemens,Industrials,SIE.DE
2019-07-09,75.21554565429688,Siemens,Industrials,SIE.DE
2019-07-10,74.8294448852539,Siemens,Industrials,SIE.DE
2019-07-11,74.02012634277344,Siemens,Industrials,SIE.DE
2019-07-12,74.0126953125,Siemens,Industrials,SIE.DE
2019-07-15,74.06466674804688,Siemens,Industrials,SIE.DE
2019-07-16,74.50273895263672,Siemens,Industrials,SIE.DE
2019-07-17,74.0126953125,Siemens,Industrials,SIE.DE
2019-07-18,73.64144134521484,Siemens,Industrials,SIE.DE
2019-07-19,73.90874481201172,Siemens,Industrials,SIE.DE
2019-07-22,73.8790512084961,Siemens,Industrials,SIE.DE
2019-07-23,75.31950378417969,Siemens,Industrials,SIE.DE
2019-07-24,75.91350555419922,Siemens,Industrials,SIE.DE
2019-07-25,74.96310424804688,Siemens,Industrials,SIE.DE
2019-07-26,74.97794342041016,Siemens,Industrials,SIE.DE
2019-07-29,75.14129638671875,Siemens,Industrials,SIE.DE
2019-07-30,73.96814727783203,Siemens,Industrials,SIE.DE
2019-07-31,73.5003662109375,Siemens,Industrials,SIE.DE
2019-08-01,70.53777313232422,Siemens,Industrials,SIE.DE
2019-08-02,68.42164611816406,Siemens,Industrials,SIE.DE
2019-08-05,66.6396484375,Siemens,Industrials,SIE.DE
2019-08-06,66.5579605102539,Siemens,Industrials,SIE.DE
2019-08-07,66.3500747680664,Siemens,Industrials,SIE.DE
2019-08-08,67.18167877197266,Siemens,Industrials,SIE.DE
2019-08-09,66.08277130126953,Siemens,Industrials,SIE.DE
2019-08-12,65.80061340332031,Siemens,Industrials,SIE.DE
2019-08-13,66.2609634399414,Siemens,Industrials,SIE.DE
2019-08-14,63.96664047241211,Siemens,Industrials,SIE.DE
2019-08-15,63.11274719238281,Siemens,Industrials,SIE.DE
2019-08-16,63.736454010009766,Siemens,Industrials,SIE.DE
2019-08-19,64.7685317993164,Siemens,Industrials,SIE.DE
2019-08-20,64.76111602783203,Siemens,Industrials,SIE.DE
2019-08-21,66.17185974121094,Siemens,Industrials,SIE.DE
2019-08-22,66.03079223632812,Siemens,Industrials,SIE.DE
2019-08-23,65.48133087158203,Siemens,Industrials,SIE.DE
2019-08-26,65.76349639892578,Siemens,Industrials,SIE.DE
2019-08-27,66.08277130126953,Siemens,Industrials,SIE.DE
2019-08-28,65.867431640625,Siemens,Industrials,SIE.DE
2019-08-29,66.82527160644531,Siemens,Industrials,SIE.DE
2019-08-30,67.5306396484375,Siemens,Industrials,SIE.DE
2019-09-02,67.20394134521484,Siemens,Industrials,SIE.DE
2019-09-03,66.72874450683594,Siemens,Industrials,SIE.DE
2019-09-04,67.71627807617188,Siemens,Industrials,SIE.DE
2019-09-05,67.97615051269531,Siemens,Industrials,SIE.DE
2019-09-06,68.7186508178711,Siemens,Industrials,SIE.DE
2019-09-09,69.93636322021484,Siemens,Industrials,SIE.DE
2019-09-10,71.28028106689453,Siemens,Industrials,SIE.DE
2019-09-11,72.29751586914062,Siemens,Industrials,SIE.DE
